family,species,tree,seq_id
Flavobacteriaceae,Marixanthomonas spongiae,RF01689,"QEHR01000010.1/19872-19965_QEHR01000010.1_Marixanthomonas_spongiae_strain_HN-E44_contig10,_whole_genome_shotgun_sequence_RF01689"
Veillonellaceae,Pelosinus sp. UFO1,RF02683,"CP008852.1/4802730-4802811_Pelosinus_sp._UFO1,_complete_genome_RF02683"
Acidaminococcaceae,Phascolarctobacterium sp. YIT 12067,RF02683,"GL830857.1/26987-27081_Phascolarctobacterium_sp._YIT_12067_genomic_scaffold_Scfld36,_whole_genome_shotgun_sequence_RF02683"
Dethiosulfovibrionaceae,Pyramidobacter sp. CG50-2,RF02683,"RAWT01000014.1/7492-7408_Pyramidobacter_sp._CG50-2_NODE_14_length_47306_cov_185.461,_whole_genome_shotgun_sequence_RF02683"
Breznakiellaceae,Breznakiella homolactica,RF02683,"CP067089.2/281305-281401_Breznakiella_homolactica_strain_RmG30_chromosome,_complete_genome_RF02683"
Sphaerochaetaceae,Sphaerochaeta halotolerans,RF02683,"QUWK01000023.1/3510-3413_Sphaerochaeta_halotolerans_strain_4-11_NODE_23_length_21374_cov_73.6465,_whole_genome_shotgun_sequence_RF02683"
Atribacteraceae,Atribacter laminatus,RF02683,"CP065383.1/1386957-1387045_Atribacter_laminatus_strain_RT761_chromosome,_complete_genome_RF02683"
Nitrobacteraceae,Candidatus Afipia apatlaquensis,RF02683,"JAAMRR010000193.1/1544-1449_MAG:_Candidatus_Afipia_apatlaquensis_isolate_IBT-C3_k141_640614,_whole_genome_shotgun_sequence_RF02683"
Acutalibacteraceae,Caproiciproducens sp. NJN-50,RF02683,"CP035283.1/1844951-1844862_Caproiciproducens_sp._NJN-50_chromosome,_complete_genome_RF02683"
Butyricicoccaceae,Butyricicoccus porcorum,RF02683,"NHOC01000010.1/64784-64701_Butyricicoccus_porcorum_strain_BB10_BB10_c10,_whole_genome_shotgun_sequence_RF02683"
Desulfotomaculaceae,Pelotomaculum isophthalicicum JI,RF02683,"JAKOAV010000019.1/66246-66339_Pelotomaculum_isophthalicicum_JI_19,_whole_genome_shotgun_sequence_RF02683"
Anaerovoracaceae,Aminipila luticellarii,RF02683,"CP035281.1/2392250-2392354_Aminipila_luticellarii_strain_JN-18_chromosome,_complete_genome_RF02683"
Sporomusaceae,Methylomusa anaerophila,RF02683,"AP018449.1/3362842-3362752_Methylomusa_anaerophila_DNA,_complete_genome_RF02683"
Izemoplasmataceae,Xianfuyuplasma coldseepsis,RF02683,"CP048914.1/582152-582067_Candidatus_Xianfuyuplasma_coldseepsis_strain_zrk13_chromosome,_complete_genome_RF02683"
Ruminococcaceae,Ruminococcaceae bacterium D16,RF02683,"KI391948.1/902468-902545_Ruminococcaceae_bacterium_D16_genomic_scaffold_acsPy-supercont2.2,_whole_genome_shotgun_sequence_RF02683"
Oscillospiraceae,Ruminococcaceae bacterium FB2012,RF02683,"FMXS01000004.1/339308-339223_Ruminococcaceae_bacterium_FB2012_genome_assembly,_contig:_IE31DRAFT_scaffold00002.2,_whole_genome_shotgun_sequence_RF02683"
Lachnospiraceae,Lachnospiraceae bacterium KM106-2,RF02683,"AP018794.1/4256243-4256341_Lachnospiraceae_bacterium_KM106-2_DNA,_complete_genome_RF02683"
Sporomusaceae,Sporomusaceae bacterium,RF02683,"BIFV01000010.1/241649-241521_Sporomusaceae_bacterium_FL31_DNA,_scf_SPFL3102_010,_whole_genome_shotgun_sequence_RF02683"
Nitrosomonadaceae,Nitrosovibrio sp. Nv17,RF03057,"FPIQ01000009.1/62008-61953_Nitrosovibrio_sp._Nv17_genome_assembly,_contig:_Ga0111729_109_RF03057"
Sphingomonadaceae,Sphingomonas sp. OV641,RF03057,"FNZB01000001.1/269302-269357_FNZB01000001.1_Sphingomonas_sp._OV641_genome_assembly,_contig:_Ga0115508_101,_whole_genome_shotgun_sequence_RF03057"
Erythrobacteraceae,Altererythrobacter sp. Root672,RF03057,"LMHH01000004.1/15149-15092_Altererythrobacter_sp._Root672_contig_4,_whole_genome_shotgun_sequence._RF03057"
Bradyrhizobiaceae,Nitrobacter winogradskyi Nb-255,RF03057,"CP000115.1/3087889-3087835_Nitrobacter_winogradskyi_Nb-255,_complete_genome._RF03057"
Methylobacteriaceae,Methylobacterium extorquens AM1,RF03057,"CP001511.1/1063781-1063836_Methylobacterium_extorquens_AM1_megaplasmid,_complete_sequence._RF03057"
Xanthobacteraceae,Xanthobacter tagetidis,RF03057,"RCTF01000001.1/82251-82310_RCTF01000001.1_Xanthobacter_tagetidis_strain_ATCC_700314_NODE_1_length_613008_cov_494.127371,_whole_genome_shotgun_sequence_RF03057"
Bartonellaceae,Bartonella apis,RF03057,"LXYT01000002.1/306836-306889_Bartonella_apis_strain_PEB0149_NODE_2_len_568743_cov_90_4119_ID_3.7,_whole_genome_shotgun_sequence._RF03057"
Beijerinckiaceae,Chelatococcus asaccharovorans,RF03057,"QJJK01000007.1/265568-265514_QJJK01000007.1_Chelatococcus_asaccharovorans_strain_DSM_6462_Ga0215681_107,_whole_genome_shotgun_sequence_RF03057"
Chelatococcaceae,Chelatococcus reniformis,RF03057,"BMGG01000003.1/31143-31087_BMGG01000003.1_Chelatococcus_reniformis_CGMCC_1.12919_DNA,_sequence03,_whole_genome_shotgun_sequence_RF03057"
Caulobacteraceae,Caulobacter crescentus CB15,RF03057,"AE005673.1/471475-471527_Caulobacter_crescentus_CB15,_complete_genome._RF03057"
Kofleriaceae,Kofleriaceae bacterium,RF03057,"JABFXX010000375.1/12368-12322_JABFXX010000375.1_MAG:_Kofleriaceae_bacterium_isolate_Bin8.14_NODE_783_length_22827_cov_5.859235,_whole_genome_shotgun_sequence_RF03057"
Nannocystaceae,Nannocystaceae bacterium,RF03057,"JACMJN010000065.1/3357-3309_JACMJN010000065.1_MAG:_Nannocystaceae_bacterium_isolate_ES-bin-168_ES-bin-168-contig-k141_514259,_whole_genome_shotgun_sequence_RF03057"
Polyangiaceae,Polyangiaceae bacterium,RF03057,"JABFXY010000157.1/34795-34852_JABFXY010000157.1_MAG:_Polyangiaceae_bacterium_isolate_Bin8.16_NODE_315_length_37515_cov_4.422571,_whole_genome_shotgun_sequence_RF03057"
Syntrophaceae,Syntrophaceae bacterium,RF03057,"JAGXSW010000191.1/11511-11574_JAGXSW010000191.1_MAG:_Syntrophaceae_bacterium_isolate_CROMO_BS_212_2_0_c_000000712752,_whole_genome_shotgun_sequence_RF03057"
Opitutaceae,Opitutus terrae PB90-1,RF03057,"CP001032.1/2735255-2735205_Opitutus_terrae_PB90-1,_complete_genome._RF03057"
Alcaligenaceae,Alcaligenaceae bacterium 429,RF03057,"SRSN01000214.1/1208-1266_SRSN01000214.1_Alcaligenaceae_bacterium_429_NODE_215_length_5147_cov_11.842,_whole_genome_shotgun_sequence_RF03057"
Acetobacteraceae,Acetobacteraceae bacterium AT-5844,RF03057,"JH599913.1/2300-2245_Acetobacteraceae_bacterium_AT-5844_genomic_scaffold_Scfld5,_whole_genome_shotgun_sequence._RF03057"
Sandaracinaceae,Sandaracinus amylolyticus,RF03057,"CP011125.1/6712784-6712733_Sandaracinus_amylolyticus_strain_DSM_53668,_complete_genome._RF03057"
Myxococcaceae,Anaeromyxobacter sp. Fw109-5,RF03057,"CP000769.1/4453465-4453520_Anaeromyxobacter_sp._Fw109-5,_complete_genome._RF03057"
Thermoguttaceae,Thermogutta terrifontis,RF03057,"CP018477.1/402541-402491_CP018477.1_Thermogutta_terrifontis_strain_R1_chromosome,_complete_genome_RF03057"
Pontiellaceae,Pontiella desulfatans,RF03057,"CAAHFG010000001.1/1085877-1085935_CAAHFG010000001.1_Pontiella_desulfatans_strain_F1(T)_genome_assembly,_contig:_gnl|X|PDESU_1,_whole_genome_shotgun_sequence_RF03057"
Listeriaceae,Brochothrix thermosphacta,RF01482,"CP023483.1/1602331-1602478_CP023483.1_Brochothrix_thermosphacta_strain_BI_chromosome,_complete_genome_RF01482"
Deferribacteraceae,Denitrovibrio acetiphilus DSM 12809,RF01482,"CP001968.1/1711105-1710961_Denitrovibrio_acetiphilus_DSM_12809,_complete_genome._RF01482"
Roseiarcaceae,Roseiarcus fermentans,RF01482,"QNRK01000052.1/26510-26597_QNRK01000052.1_Roseiarcus_fermentans_strain_DSM_24875_Ga0244512_152,_whole_genome_shotgun_sequence_RF01482"
Erysipelotrichaceae,Clostridium spiroforme DSM 1552,RF01482,"DS562854.1/422439-422561_Clostridium_spiroforme_DSM_1552_Scfld_02_11_genomic_scaffold,_whole_genome_shotgun_sequence._RF01482"
Leptospiraceae,Turneriella parva DSM 21527,RF01482,"CP002959.1/3383132-3383283_Turneriella_parva_DSM_21527,_complete_genome._RF01482"
Pseudonocardiaceae,Prauserella shujinwangii,RF01482,"PVNH01000004.1/50500-50591_PVNH01000004.1_Prauserella_shujinwangii_strain_CGMCC_4.7125_Ga0171606_104,_whole_genome_shotgun_sequence_RF01482"
Nocardiopsaceae,Nocardiopsis sp. L17-MgMaSL7,RF01482,"QGTF01000007.1/68241-68388_QGTF01000007.1_Nocardiopsis_sp._L17-MgMaSL7_Ga0060225_107,_whole_genome_shotgun_sequence_RF01482"
Thermomonosporaceae,Actinomadura barringtoniae,RF01482,"JAGEOJ010000004.1/229727-229871_JAGEOJ010000004.1_Actinomadura_barringtoniae_strain_GKU_128_4,_whole_genome_shotgun_sequence_RF01482"
Dermacoccaceae,Flexivirga aerilata,RF01482,"JABENB010000002.1/519438-519347_JABENB010000002.1_Flexivirga_aerilata_strain_ID2601S_contig2,_whole_genome_shotgun_sequence_RF01482"
Ornithinimicrobiaceae,Ornithinimicrobium tianjinense,RF01482,"BMEM01000003.1/8280-8376_BMEM01000003.1_Ornithinimicrobium_tianjinense_CGMCC_1.12160_DNA,_sequence03,_whole_genome_shotgun_sequence_RF01482"
Actinospicaceae,Actinospica acidithermotolerans,RF01482,"JAGSOH010000004.1/104232-104107_JAGSOH010000004.1_Actinospica_acidithermotolerans_strain_MGRD01-02_NODE_4_length_162317_cov_42.2972,_whole_genome_shotgun_sequence_RF01482"
Cryptosporangiaceae,Cryptosporangium phraense,RF01482,"VIRS01000015.1/78540-78447_VIRS01000015.1_Cryptosporangium_phraense_strain_A-T_5661_15,_whole_genome_shotgun_sequence_RF01482"
Frankiaceae,Candidatus Frankia alpina,RF01482,"SSXH01000056.1/2875-2734_SSXH01000056.1_Candidatus_Frankia_alpina_strain_AvVan_1473100056,_whole_genome_shotgun_sequence_RF01482"
Sporichthyaceae,Epidermidibacterium keratini,RF01482,"CP047156.1/1162402-1162318_CP047156.1_Epidermidibacterium_keratini_strain_EPI-7_chromosome,_complete_genome_RF01482"
Planococcaceae,Kurthia sp. 3B1D,RF01482,"JTFC01000031.1/785762-785636_JTFC01000031.1_Kurthia_sp._3B1D_Contig31,_whole_genome_shotgun_sequence_RF01482"
Dermatophilaceae,Austwickia chelonae NBRC 105200,RF01482,"BAGZ01000008.1/159564-159645_Austwickia_chelonae_NBRC_105200_DNA,_contig:_AUCHE08._RF01482"
Intrasporangiaceae,Tetrasphaera elongata Lp2,RF01482,"HF570956.1/2984775-2984873_Tetrasphaera_elongata_Lp2_genomic_scaffold,_2093_scaffold1_RF01482"
Gordoniaceae,Gordonia soli NBRC 108243,RF01482,"BANX01000028.1/57017-56921_Gordonia_soli_NBRC_108243_DNA,_contig:_GS428._RF01482"
Phototrophicaceae,Phototrophicus methaneseepsis,RF01482,"CP062983.1/2063643-2063796_CP062983.1_Phototrophicus_methaneseepsis_strain_ZRK33_chromosome,_complete_genome_RF01482"
Mycobacteriaceae,Mycobacterium llatzerense,RF01482,"JXST01000052.1/34092-34236_Mycobacterium_llatzerense_strain_CLUC14_Mllat_contig000052,_whole_genome_shotgun_sequence._RF01482"
Oxalobacteraceae,Oxalobacteraceae bacterium CAVE-383,RF01482,"REGP01000003.1/313024-312898_REGP01000003.1_Oxalobacteraceae_bacterium_CAVE-383_NODE_3_length_519465_cov_176.454776,_whole_genome_shotgun_sequence_RF01482"
Pseudonocardiaceae,Pseudonocardiaceae bacterium YIM PH 21723,RF01482,"QZFT01000014.1/58298-58453_QZFT01000014.1_Pseudonocardiaceae_bacterium_YIM_PH_21723_NODE_11,_whole_genome_shotgun_sequence_RF01482"
Peptostreptococcaceae,Peptostreptococcaceae bacterium pGA-8,RF01482,"FONK01000011.1/61788-61644_FONK01000011.1_Peptostreptococcaceae_bacterium_pGA-8_genome_assembly,_contig:_IE49DRAFT_scaffold00011.11,_whole_genome_shotgun_sequence_RF01482"
Alicyclobacillaceae,Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446,RF01786,"CP001727.1/379758-379674_Alicyclobacillus_acidocaldarius_subsp._acidocaldarius_DSM_446,_complete_genome_RF01786"
Halanaerobiaceae,Halarsenatibacter silvermanii,RF01786,"FNGO01000013.1/1424-1511_Halarsenatibacter_silvermanii_strain_SLAS-1_genome_assembly,_contig:_Ga0073296_113,_whole_genome_shotgun_sequence_RF01786"
Thermotaleaceae,Anaerosolibacter carboniphilus,RF01786,"JACHEN010000002.1/7049-6965_Anaerosolibacter_carboniphilus_strain_DSM_103526_Ga0415316_02,_whole_genome_shotgun_sequence_RF01786"
Tissierellaceae,Paratissierella segnis,RF01786,"JACRTG010000008.1/33565-33648_Paratissierella_segnis_strain_BX21_BX-21_ctg0008,_whole_genome_shotgun_sequence_RF01786"
Paenibacillaceae,Paenibacillaceae bacterium,RF01786,"REGQ01000018.1/108347-108427_Paenibacillaceae_bacterium_strain_CAVE-418_NODE_21_length_118050_cov_178.886610,_whole_genome_shotgun_sequence_RF01786"
Thermoanaerobacteraceae,Thermoanaerobacteraceae bacterium SP2,RF01786,"QSNL01000006.1/83647-83563_Thermoanaerobacteraceae_bacterium_SP2_NODE_6_length_138978_cov_111.965,_whole_genome_shotgun_sequence_RF01786"
Oscillochloridaceae,Candidatus Chloroploca asiatica,RF01786,"LYXE01000157.1/1157-1241_Candidatus_Chloroploca_asiatica_strain_B7-9_NODE_5_length_166125_cov_81.7771_ID_198475,_whole_genome_shotgun_sequence_RF01786"
Thermotogaceae,Thermotoga lettingae TMO,RF01055,"CP000812.1/1514739-1514859_Thermotoga_lettingae_TMO,_complete_genome._RF01055"
Desulfobacteraceae,Desulfobotulus alkaliphilus,RF01055,"VLLC01000019.1/28568-28447_VLLC01000019.1_Desulfobotulus_alkaliphilus_strain_ASO4-4_LZ24DRAFT_scaffold00019.19,_whole_genome_shotgun_sequence_RF01055"
Desulfurellaceae,Hippea maritima DSM 10411,RF01055,"CP002606.1/586278-586399_Hippea_maritima_DSM_10411,_complete_genome._RF01055"
Kordiimonadaceae,Kordiimonas sediminis,RF01055,"BNCI01000002.1/15928-15766_BNCI01000002.1_Kordiimonas_sediminis_KCTC_42590_DNA,_sequence02,_whole_genome_shotgun_sequence_RF01055"
Emcibacteraceae,Paremcibacter congregatus,RF01055,"PDEM01000024.1/289029-289181_PDEM01000024.1_Paremcibacter_congregatus_strain_ZYL_551,_whole_genome_shotgun_sequence_RF01055"
Hyphomonadaceae,Hyphomonas sp. CY54-11-8,RF01055,"AWFD01000033.1/234592-234461_AWFD01000033.1_Hyphomonas_sp._CY54-11-8_contig4,_whole_genome_shotgun_sequence_RF01055"
Pseudobacteriovoracaceae,Pseudobacteriovorax antillogorgiicola,RF01055,"FWZT01000016.1/109832-109974_Pseudobacteriovorax_antillogorgiicola_strain_RKEM611_genome_assembly,_contig:_Ga0139084_116_RF01055"
Natranaerobiaceae,Natranaerobius trueperi,RF01055,"NIQC01000015.1/25626-25747_Natranaerobius_trueperi_strain_DSM_18760_ZB100014,_whole_genome_shotgun_sequence._RF01055"
Treponemataceae,Treponema sp. J25,RF01055,"PTQW01000037.1/69171-69347_PTQW01000037.1_Treponema_sp._J25_NG-7853_contig_37,_whole_genome_shotgun_sequence_RF01055"
Aminithiophilaceae,Aminithiophilus ramosus,RF01055,"CP072943.1/2526851-2526733_CP072943.1_Aminithiophilus_ramosus_strain_J.5.4.2-T.3.5.2_chromosome,_complete_genome_RF01055"
Caldisericaceae,Caldisericum exile AZM16c01,RF01055,"AP012051.1/122012-121891_Caldisericum_exile_AZM16c01_DNA,_complete_genome._RF01055"
Calditrichaceae,Caldithrix abyssi DSM 13497,RF01055,"CM001402.1/4059468-4059594_Caldithrix_abyssi_DSM_13497_chromosome,_whole_genome_shotgun_sequence._RF01055"
Chlorobiaceae,Chloroherpeton thalassium ATCC 35110,RF01055,"CP001100.1/1048588-1048428_Chloroherpeton_thalassium_ATCC_35110,_complete_genome._RF01055"
Kosmotogaceae,Mesotoga sp. TolDC,RF01055,"AYSI01000150.1/35547-35428_AYSI01000150.1_Mesotoga_sp._TolDC_TolDC_c27,_whole_genome_shotgun_sequence_RF01055"
Desulfallaceae,Desulfallas thermosapovorans DSM 6562,RF01055,"VNHM01000013.1/18894-19013_VNHM01000013.1_Desulfallas_thermosapovorans_DSM_6562_Ga0056077_scaffold00013.13,_whole_genome_shotgun_sequence_RF01055"
Proteinivoraceae,Alkalicella caledoniensis,RF01055,"CP058559.1/2807687-2807574_CP058559.1_Alkalicella_caledoniensis_strain_LB2_chromosome,_complete_genome_RF01055"
Cellulosilyticaceae,Holtiella tumoricola,RF01055,"JAQIFT010000040.1/262520-262381_JAQIFT010000040.1_Holtiella_tumoricola_strain_CC70A_CC70.00040,_whole_genome_shotgun_sequence_RF01055"
Calderihabitantaceae,Calderihabitans maritimus,RF01055,"BDGJ01000042.1/104425-104560_BDGJ01000042.1_Calderihabitans_maritimus_DNA,_contig:_KKC1contig042,_whole_genome_shotgun_sequence_RF01055"
Koleobacteraceae,Koleobacter methoxysyntrophicus,RF01055,"CP059066.1/1790715-1790835_CP059066.1_Koleobacter_methoxysyntrophicus_strain_NRmbB1_chromosome,_complete_genome_RF01055"
Selenomonadaceae,Selenomonas sp. F0473,RF01055,"JH992902.1/1302638-1302493_JH992902.1_Selenomonas_sp._F0473_genomic_scaffold_supercont1.1,_whole_genome_shotgun_sequence_RF01055"
Tepidimicrobiaceae,Tepidimicrobium xylanilyticum,RF01055,"FNNG01000009.1/114335-114452_FNNG01000009.1_Tepidimicrobium_xylanilyticum_strain_DSM_23310_genome_assembly,_contig:_Ga0056071_scaffold00009.9,_whole_genome_shotgun_sequence_RF01055"
Sporanaerobacteraceae,Anaerosalibacter massiliensis,RF01055,"JANJZL010000003.1/154640-154759_JANJZL010000003.1_Anaerosalibacter_massiliensis_strain_DSM_29482_NODE_3_length_379895_cov_127.600769,_whole_genome_shotgun_sequence_RF01055"
Thermohalobacteraceae,Caloranaerobacter sp. TR13,RF01055,"JXLL01000013.1/6479-6596_JXLL01000013.1_Caloranaerobacter_sp._TR13_contig13,_whole_genome_shotgun_sequence_RF01055"
Dethiobacteraceae,Dethiobacter sp.,RF01055,"JAGXTL010000054.1/1148-1015_JAGXTL010000054.1_MAG:_Dethiobacter_sp._isolate_CROMO_SB3_c_000000008370,_whole_genome_shotgun_sequence_RF01055"
Limnochordaceae,Limnochorda pilosa,RF01055,"AP014924.1/401148-401338_Limnochorda_pilosa_DNA,_complete_genome,_strain:_HC45._RF01055"
Caldilineaceae,Litorilinea aerophila,RF01055,"VIGC02000002.1/256000-255879_VIGC02000002.1_Litorilinea_aerophila_strain_ATCC_BAA-2444_NODE_2_length_315190_cov_45.834068,_whole_genome_shotgun_sequence_RF01055"
Cloacimonadaceae,Candidatus Syntrophosphaera thermopropionivorans,RF01055,"SMOG01000001.1/220859-220741_SMOG01000001.1_Candidatus_Syntrophosphaera_thermopropionivorans_strain_W5_contig_1,_whole_genome_shotgun_sequence_RF01055"
Geobacteraceae,Geobacteraceae bacterium,RF01055,"JACABD010000058.1/126-246_JACABD010000058.1_MAG:_Geobacteraceae_bacterium_isolate_Cfx3-08_MAG08_58,_whole_genome_shotgun_sequence_RF01055"
Zymogenaceae,Candidatus Zymogenus saltonus,RF01055,"JAFGIX010000003.1/85556-85413_JAFGIX010000003.1_MAG:_Candidatus_Zymogenus_saltonus_isolate_Zod_Metabat.24_k87_772985,_whole_genome_shotgun_sequence_RF01055"
Cryosericaceae,Candidatus Cryosericum terrychapinii,RF01055,"QXIS01000032.1/47705-47588_QXIS01000032.1_Candidatus_Cryosericum_terrychapinii_strain_SMC7_SMC7_32,_whole_genome_shotgun_sequence_RF01055"
Peptococcaceae,Peptococcaceae bacterium SCADC1_2_3,RF01055,"JJNX02000054.1/14929-15048_Peptococcaceae_bacterium_SCADC1_2_3_contig_54,_whole_genome_shotgun_sequence._RF01055"
Prolixibacteraceae,Mangrovibacterium diazotrophicum,RF01055,"RAPN01000001.1/1848698-1848837_RAPN01000001.1_Mangrovibacterium_diazotrophicum_strain_DSM_27148_Ga0131256_101,_whole_genome_shotgun_sequence_RF01055"
Marinifilaceae,Ancylomarina longa,RF01055,"RJJX01000005.1/46324-46469_RJJX01000005.1_Ancylomarina_longa_strain_T3-2_S1-C_scaffold_4,_whole_genome_shotgun_sequence_RF01055"
Marinilabiliaceae,Carboxylicivirga sediminis,RF01055,"JAGTAR010000008.1/106753-106614_JAGTAR010000008.1_Carboxylicivirga_sediminis_strain_JR1_scaffold_8_length=159684,_whole_genome_shotgun_sequence_RF01055"
Ignavibacteriaceae,Ignavibacterium album JCM 16511,RF01055,"CP003418.1/3208723-3208457_Ignavibacterium_album_JCM_16511,_complete_genome._RF01055"
Opitutaceae,Opitutaceae bacterium EW11,RF01055,"QAYY01000009.1/118013-118134_QAYY01000009.1_Opitutaceae_bacterium_EW11_EW11_contig_10_coverage:,_whole_genome_shotgun_sequence_RF01055"
Rhodobacteraceae,Rhodobacteraceae bacterium EhC02,RF01727,"LXYH01000007.1/32272-32224_Rhodobacteraceae_bacterium_EhC02_A5_Contig15,_whole_genome_shotgun_sequence_RF01727"
Paracoccaceae,Rhodobacteraceae bacterium PARR1,RF01727,"NKIT01000052.1/7637-7590_MAG:_Rhodobacteraceae_bacterium_PARR1_NODE_1436,_whole_genome_shotgun_sequence_RF01727"
Thermoactinomycetaceae,Thermoflavimicrobium dichotomicum,RF01764,"FORR01000001.1/22034-21921_Thermoflavimicrobium_dichotomicum_strain_DSM_44778_genome_assembly,_contig:_Ga0104487_101,_whole_genome_shotgun_sequence_RF01764"
Leptotrichiaceae,Leptotrichia sp. oral taxon 215 str. W9775,RF01764,"KI272839.1/14863-14980_Leptotrichia_sp._oral_taxon_215_str._W9775_genomic_scaffold_Scaffold2,_whole_genome_shotgun_sequence_RF01764"
Desulfovibrionaceae,Desulfovibrio mexicanus,RF01764,"FZOC01000001.1/129092-128989_Desulfovibrio_mexicanus_strain_DSM_13116_genome_assembly,_contig:_Ga0070557_101,_whole_genome_shotgun_sequence_RF01764"
Yeguiaceae,Yeguia hominis,RF01764,"JACRSN010000001.1/287453-287356_Yeguia_hominis_strain_NSJ-40_M1_ctg001,_whole_genome_shotgun_sequence_RF01764"
Christensenellaceae,Gehongia tenuis,RF01764,"JACRSR010000001.1/240691-240791_Gehongia_tenuis_strain_NSJ-53_H2_ctg001,_whole_genome_shotgun_sequence_RF01764"
Coprobacillaceae,Longibaculum muris,RF01764,"SMCQ01000010.1/36811-36928_Longibaculum_muris_strain_DSM_29487_Ga0244711_110,_whole_genome_shotgun_sequence_RF01764"
Leuconostocaceae,Leuconostoc carnosum JB16,RF01764,"CP003851.1/856542-856444_Leuconostoc_carnosum_JB16,_complete_genome_RF01764"
Atopobiaceae,Olsenella sp. HMSC062G07,RF01764,"KV806926.1/18544-18445_Olsenella_sp._HMSC062G07_genomic_scaffold_Scaffold3,_whole_genome_shotgun_sequence_RF01764"
Actinomycetaceae,Actinomyces graevenitzii C83,RF01764,"JH470339.1/162940-162841_Actinomyces_graevenitzii_C83_genomic_scaffold_supercont1.2,_whole_genome_shotgun_sequence_RF01764"
Eubacteriaceae,Eubacteriaceae bacterium Marseille-Q4139,RF01764,"JAGTTQ010000001.1/2746824-2746947_Eubacteriaceae_bacterium_Marseille-Q4139_NODE_1_length_3951564_cov_61.899024,_whole_genome_shotgun_sequence_RF01764"
Erysipelotrichaceae,Erysipelotrichaceae bacterium RD49,RF01764,"JADGIS010000008.1/12867-12752_Erysipelotrichaceae_bacterium_RD49_NODE_8_length_33663_cov_73.265148,_whole_genome_shotgun_sequence_RF01764"
Eggerthellaceae,Eggerthellaceae bacterium zg-893,RF01764,"WPCT01000010.1/80599-80497_Eggerthellaceae_bacterium_zg-893_Scaffold9_2,_whole_genome_shotgun_sequence_RF01764"
Sphingosinicellaceae,Sphingosinicella humi,RF01725,"QFFF01000001.1/201923-202032_QFFF01000001.1_Sphingosinicella_humi_strain_QZX222_contig1,_whole_genome_shotgun_sequence_RF01725"
Azospirillaceae,Azospirillum sp. RU38E,RF01725,"FZOI01000011.1/62063-61953_FZOI01000011.1_Azospirillum_sp._RU38E_genome_assembly,_contig:_Ga0136730_111,_whole_genome_shotgun_sequence_RF01725"
Magnetovibrionaceae,Varunaivibrio sulfuroxidans,RF01725,"SLZW01000007.1/25988-26096_SLZW01000007.1_Varunaivibrio_sulfuroxidans_strain_DSM_101688_Ga0244726_107,_whole_genome_shotgun_sequence_RF01725"
Thalassobaculaceae,Nisaea acidiphila,RF01725,"CP102480.1/3916102-3916208_CP102480.1_Nisaea_acidiphila_strain_MEBiC11861_chromosome,_complete_genome_RF01725"
Zavarziniaceae,Zavarzinia compransoris,RF01725,"QGLF01000002.1/630152-630258_QGLF01000002.1_Zavarzinia_compransoris_strain_DSM_1231_DSM1231_2,_whole_genome_shotgun_sequence_RF01725"
Cohaesibacteraceae,Cohaesibacter sp. CAU 1516,RF01725,"VANT01000004.1/261492-261603_VANT01000004.1_Cohaesibacter_sp._CAU_1516_contig4,_whole_genome_shotgun_sequence_RF01725"
Brucellaceae,Falsochrobactrum shanghaiense,RF01725,"QGDB01000002.1/575771-575665_QGDB01000002.1_Falsochrobactrum_shanghaiense_strain_HN4_HM4_scaffold2,_whole_genome_shotgun_sequence_RF01725"
Aestuariivirgaceae,Aestuariivirga litoralis,RF01725,"QKVK01000008.1/139256-139154_QKVK01000008.1_Aestuariivirga_litoralis_strain_KCTC_52945_M10001_Contig8,_whole_genome_shotgun_sequence_RF01725"
Kaistiaceae,Kaistia sp. 32K,RF01725,"AP024269.1/1866577-1866685_AP024269.1_Kaistia_sp._32K_DNA,_complete_genome_RF01725"
Methylocystaceae,Methylopila turkensis,RF01725,"BSFL01000001.1/1060370-1060258_BSFL01000001.1_Methylopila_turkensis_VKM_B-2748_DNA,_soapdenovo_K_61_1,_whole_genome_shotgun_sequence_RF01725"
Pleomorphomonadaceae,Pleomorphomonas diazotrophica,RF01725,"PJNW01000016.1/258513-258407_PJNW01000016.1_Pleomorphomonas_diazotrophica_strain_R5-392_diazotrophica_contig_16,_whole_genome_shotgun_sequence_RF01725"
Sutterellaceae,Sutterella parvirubra YIT 11816,RF01725,"JH605000.1/27306-27188_Sutterella_parvirubra_YIT_11816_genomic_scaffold_Scfld708,_whole_genome_shotgun_sequence._RF01725"
Gallionellaceae,Candidatus Nitrotoga sp. AM1P,RF01725,"AP019547.1/2422056-2421951_AP019547.1_Candidatus_Nitrotoga_sp._AM1P_DNA,_complete_genome_RF01725"
Mariprofundaceae,Mariprofundus ferrinatatus,RF01725,"CP018800.1/859940-860044_CP018800.1_Mariprofundus_ferrinatatus,_complete_genome_RF01725"
Sphingobacteriaceae,Sphingobacterium spiritivorum ATCC 33861,RF01725,"GL379770.1/1032615-1032522_Sphingobacterium_spiritivorum_ATCC_33861_genomic_scaffold_SCAFFOLD1,_whole_genome_shotgun_sequence._RF01725"
Flammeovirgaceae,Sediminitomix flava,RF01725,"QGDO01000005.1/225293-225201_QGDO01000005.1_Sediminitomix_flava_strain_DSM_28229_Ga0131173_105,_whole_genome_shotgun_sequence_RF01725"
