family,species,tree,seq_id
Enterobacteriaceae,Kluyvera genomosp. 3,RF01056,"CP022114.1/4394432-4394321_CP022114.1_Kluyvera_genomosp._3_strain_YDC799_chromosome,_complete_genome_RF01056"
Enterobacteriaceae,Klebsiella pneumoniae subsp. pneumoniae,RF01056,"CP003200.1/535524-535640_CP003200.1_Klebsiella_pneumoniae_subsp._pneumoniae_HS11286,_complete_genome_RF01056"
Enterobacteriaceae,Klebsiella michiganensis,RF01056,"KK036986.1/944071-944185_KK036986.1_Klebsiella_michiganensis_strain_MGH_27_adjbQ-supercont1.1,_whole_genome_shotgun_sequence_RF01056"
Enterobacteriaceae,Cedecea neteri,RF00080,"CP009451.1/4662073-4661885_Cedecea_neteri_strain_SSMD04,_complete_genome_RF00080"
Enterobacteriaceae,Klebsiella sp. RIT-PI-d,RF00080,"LGIT01000009.1/1480561-1480741_Klebsiella_sp._RIT-PI-d_NODE_1_length_2264346_cov_38.3847_ID_1,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Serratia fonticola,RF00080,"CP011254.1/4756358-4756262_Serratia_fonticola_strain_DSM_4576,_complete_genome_RF00080"
Enterobacteriaceae,Dickeya dadantii 3937,RF00080,"CP002038.1/2568011-2568194_Dickeya_dadantii_3937,_complete_genome_RF00080"
Enterobacteriaceae,Candidatus Symbiopectobacterium sp. Dall1.0,RF01734,"RYVQ01000071.1/305-244_MAG:_Candidatus_Symbiopectobacterium_sp._Dall1.0_n71,_whole_genome_shotgun_sequence_RF01734"
Enterobacteriaceae,Klebsiella indica,RF01734,"VCHQ01000018.1/49572-49646_Klebsiella_indica_strain_TOUT106_salmonela_mira_c18,_whole_genome_shotgun_sequence_RF01734"
Enterobacteriaceae,Kluyvera cryocrescens,RF01734,"CAADJD010000018.1/119165-119226_Kluyvera_cryocrescens_strain_NCTC12993_genome_assembly,_contig:_ERS473437SCcontig000018,_whole_genome_shotgun_sequence_RF01734"
Enterobacteriaceae,Gibbsiella quercinecans,RF01734,"CP014136.1/1283534-1283596_Gibbsiella_quercinecans_strain_FRB97_chromosome,_complete_genome_RF01734"
Enterobacteriaceae,Serratia ficaria,RF01734,"LT906479.1/1313524-1313462_Serratia_ficaria_strain_NCTC12148_genome_assembly,_chromosome:_1_RF01734"
Enterobacteriaceae,Yersinia ruckeri,RF01734,"UHJG01000001.1/1091766-1091828_Yersinia_ruckeri_strain_NCTC10476_genome_assembly,_contig:_ERS1545397SCcontig000001,_whole_genome_shotgun_sequence_RF01734"
Enterobacteriaceae,Pantoea ananatis LMG 20103,RF01734,"CP001875.2/4203225-4203149_Pantoea_ananatis_LMG_20103,_complete_genome_RF01734"
Enterobacteriaceae,Providencia stuartii,RF01734,"LVIE01000035.1/62116-62048_Providencia_stuartii_strain_Crippen_contig_13,_whole_genome_shotgun_sequence_RF01734"
Enterobacteriaceae,Serratia rubidaea,RF00168,"LR134493.1/2036811-2036616_LR134493.1_Serratia_rubidaea_strain_NCTC10036_genome_assembly,_chromosome:_1_RF00168"
Enterobacteriaceae,Pantoea vagans,RF00168,"CP011427.1/3799577-3799382_CP011427.1_Pantoea_vagans_strain_ND02_chromosome,_complete_genome_RF00168"
Enterobacteriaceae,Brenneria rubrifaciens,RF00168,"CP034035.1/3372253-3372447_CP034035.1_Brenneria_rubrifaciens_strain_6D370_chromosome,_complete_genome_RF00168"
Enterobacteriaceae,Citrobacter sp. JGM124,RF00168,"JAERJD010000012.1/14957-14717_JAERJD010000012.1_Citrobacter_sp._JGM124_scaffold12_size103524,_whole_genome_shotgun_sequence_RF00168"
Enterobacteriaceae,Budvicia aquatica,RF00168,"PDDX01000001.1/2989813-2990015_PDDX01000001.1_Budvicia_aquatica_strain_FDAARGOS_387_pRIID_90.contig.0,_whole_genome_shotgun_sequence_RF00168"
Enterobacteriaceae,Serratia odorifera DSM 4582,RF00168,"GG753567.1/1778008-1777814_Serratia_odorifera_DSM_4582_genomic_scaffold_SCAFFOLD1,_whole_genome_shotgun_sequence._RF00168"
Enterobacteriaceae,Erwinia mallotivora,RF00168,"JFHN01000028.1/49602-49850_Erwinia_mallotivora_strain_BT-MARDI_contig_28,_whole_genome_shotgun_sequence._RF00168"
Enterobacteriaceae,Biostraticola tofi,RF00168,"SMCR01000012.1/71505-71702_SMCR01000012.1_Biostraticola_tofi_strain_DSM_19580_Ga0244679_112,_whole_genome_shotgun_sequence_RF00168"
Enterobacteriaceae,Pantoea agglomerans,RF00168,"UGSO01000001.1/3770930-3770736_UGSO01000001.1_Pantoea_agglomerans_strain_NCTC9381_genome_assembly,_contig:_ERS513136SCcontig000001,_whole_genome_shotgun_sequence_RF00168"
Enterobacteriaceae,Tenebrionibacter intestinalis,RF00174,"JAEPBH010000050.1/21138-21313_JAEPBH010000050.1_Tenebrionibacter_intestinalis_strain_BIT-L3_Scaffold50,_whole_genome_shotgun_sequence_RF00174"
Enterobacteriaceae,Buttiauxella agrestis ATCC 33320,RF00174,"JMPI01000074.1/132596-132780_Buttiauxella_agrestis_ATCC_33320_GBAG.assembly.074,_whole_genome_shotgun_sequence._RF00174"
Enterobacteriaceae,Jejubacter calystegiae,RF00174,"CP040428.1/1400744-1400946_CP040428.1_Jejubacter_calystegiae_strain_KSNA2_chromosome,_complete_genome_RF00174"
Enterobacteriaceae,Edwardsiella hoshinae,RF00174,"UFXZ01000001.1/1619307-1619483_UFXZ01000001.1_Edwardsiella_hoshinae_strain_NCTC12121_genome_assembly,_contig:_ERS1295689SCcontig000001,_whole_genome_shotgun_sequence_RF00174"
Enterobacteriaceae,Shigella flexneri 2a str. 301,RF00174,"AE005674.2/4183395-4183584_Shigella_flexneri_2a_str._301,_complete_genome._RF00174"
Enterobacteriaceae,Citrobacter freundii,RF00174,"JABXSS010000001.1/3979664-3979469_JABXSS010000001.1_Citrobacter_freundii_strain_RHB34-C11_RHB34-C11_1,_whole_genome_shotgun_sequence_RF00174"
Enterobacteriaceae,Citrobacter rodentium ICC168,RF00174,"FN543502.1/3980116-3979923_Citrobacter_rodentium_ICC168,_complete_genome_RF00174"
Enterobacteriaceae,Erwinia billingiae,RF00174,FP236843.1/194056-194235_Erwinia_billingiae_strain_Eb661_complete_chromosome._RF00174
Enterobacteriaceae,Citrobacter koseri ATCC BAA-895,RF00174,"CP000822.1/1237335-1237110_Citrobacter_koseri_ATCC_BAA-895,_complete_genome._RF00174"
Enterobacteriaceae,Enterobacter cloacae SCF1,RF00174,"CP002272.1/1887467-1887641_Enterobacter_cloacae_SCF1,_complete_genome._RF00174"
Enterobacteriaceae,Cronobacter sakazakii ATCC BAA-894,RF00174,"CP000783.1/3747270-3747086_Cronobacter_sakazakii_ATCC_BAA-894,_complete_genome._RF00174"
Enterobacteriaceae,Escherichia vulneris NBRC 102420,RF00174,"BBMZ01000025.1/96241-96418_Escherichia_vulneris_NBRC_102420_DNA,_contig:_EV10242025._RF00174"
Enterobacteriaceae,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,RF00174,"AE006468.2/2114070-2113896_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2,_complete_genome._RF00174"
Enterobacteriaceae,Yersinia pestis CO92,RF01068,AL590842.1/366347-366393_Yersinia_pestis_CO92_complete_genome_RF01068
Enterobacteriaceae,Trabulsiella odontotermitis,RF01068,"JNGI01000059.1/12356-12312_Trabulsiella_odontotermitis_strain_12_SAMPLE12_CONTIG_59,_whole_genome_shotgun_sequence_RF01068"
Enterobacteriaceae,Salmonella enterica different,RF01068,"CP000880.1/3192327-3192283_Salmonella_enterica_different_strain_RSK2980_chromosome,_complete_genome_RF01068"
Enterobacteriaceae,Leminorella richardii,RF01068,"LS483470.1/3357293-3357249_Leminorella_richardii_strain_NCTC12151_genome_assembly,_chromosome:_1_RF01068"
Enterobacteriaceae,Photorhabdus luminescens subsp. laumondii TTO1,RF01068,BX470251.1/4818293-4818247_Photorhabdus_luminescens_subsp._laumondii_TTO1_complete_genome_RF01068
Enterobacteriaceae,Atlantibacter hermannii NBRC 105704,RF01068,"BAFF01000004.1/107907-107957_Atlantibacter_hermannii_NBRC_105704_NBRC_105704_DNA,_contig:_EH10570404,_whole_genome_shotgun_sequence_RF01068"
Enterobacteriaceae,Tatumella morbirosei,RF01055,"JPKR02000002.1/26825-26962_Tatumella_morbirosei_strain_LMG_23360_Contig2,_whole_genome_shotgun_sequence._RF01055"
Enterobacteriaceae,Klebsiella pneumoniae subsp. ozaenae,RF01055,"UGLZ01000005.1/2543761-2543623_UGLZ01000005.1_Klebsiella_pneumoniae_subsp._ozaenae_strain_NCTC5050_genome_assembly,_contig:_ERS513128SCcontig000005,_whole_genome_shotgun_sequence_RF01055"
Enterobacteriaceae,Erwinia tasmaniensis,RF01055,CU468135.1/2548214-2548079_Erwinia_tasmaniensis_strain_ET1/99_complete_chromosome._RF01055
Enterobacteriaceae,Lonsdalea quercina,RF01055,"FNQS01000005.1/202918-202776_Lonsdalea_quercina_strain_ATCC_29281_genome_assembly,_contig:_Ga0052894_scaffold00005.5_RF01055"
Enterobacteriaceae,Xenorhabdus koppenhoeferi,RF01055,"FPBJ01000016.1/54247-54091_FPBJ01000016.1_Xenorhabdus_koppenhoeferi_strain_DSM_18168_genome_assembly,_contig:_Ga0111672_116,_whole_genome_shotgun_sequence_RF01055"
Enterobacteriaceae,Xenorhabdus cabanillasii,RF01055,"QTUB01000001.1/4133546-4133352_QTUB01000001.1_Xenorhabdus_cabanillasii_strain_DSM_17905_Ga0236269_11,_whole_genome_shotgun_sequence_RF01055"
Enterobacteriaceae,Xenorhabdus japonica,RF01055,"FOVO01000041.1/18910-18762_FOVO01000041.1_Xenorhabdus_japonica_strain_DSM_16522_genome_assembly,_contig:_Ga0111655_141,_whole_genome_shotgun_sequence_RF01055"
Enterobacteriaceae,Xenorhabdus innexi,RF01055,"LT699767.1/1239274-1239081_Xenorhabdus_innexi_strain_HGB1681_(deposited_as_PTA-6826_in_the_American_Type_Culture_Collection)_genome_assembly,_scaffold:_XIS1_scaffold1_RF01055"
Enterobacteriaceae,Serratia symbiotica str. Tucson,RF01055,"GL636100.1/87315-87459_Serratia_symbiotica_str._Tucson_genomic_scaffold_scaffold00201,_whole_genome_shotgun_sequence._RF01055"
Enterobacteriaceae,Salmonella enterica subsp. arizonae,RF00050,"LS483466.1/605739-605939_LS483466.1_Salmonella_enterica_subsp._arizonae_strain_NCTC7307_genome_assembly,_chromosome:_1_RF00050"
Enterobacteriaceae,Erwinia tracheiphila,RF00050,"JXNU01000003.1/3926327-3926477_Erwinia_tracheiphila_strain_BuffGH_Etrach_2,_whole_genome_shotgun_sequence._RF00050"
Enterobacteriaceae,Shigella boydii CDC 3083-94,RF00059,"CP001063.1/1026192-1026288_Shigella_boydii_CDC_3083-94,_complete_genome._RF00059"
Enterobacteriaceae,Shigella sonnei Ss046,RF00059,"CP000038.1/83394-83295_Shigella_sonnei_Ss046,_complete_genome._RF00059"
Enterobacteriaceae,Enterobacter sp. 638,RF00059,"CP000653.1/696377-696277_Enterobacter_sp._638,_complete_genome._RF00059"
Enterobacteriaceae,Mangrovibacter sp. MFB070,RF01056,"JJMI01000043.1/30681-30800_Mangrovibacter_sp._MFB070_Contig-043,_whole_genome_shotgun_sequence._RF01056"
Enterobacteriaceae,Enterobacteriaceae bacterium strain FGI 57,RF00080,"CP003938.1/1894271-1894166_Enterobacteriaceae_bacterium_strain_FGI_57,_complete_genome_RF00080"
Enterobacteriaceae,Arsenophonus nasoniae,RF00080,"CP038613.1/1591577-1591436_Arsenophonus_nasoniae_strain_FIN_chromosome,_complete_genome_RF00080"
Enterobacteriaceae,Enterobacteriaceae bacterium RIT714,RF00174,"WJYB01000012.1/120890-121067_WJYB01000012.1_Enterobacteriaceae_bacterium_RIT714_12,_whole_genome_shotgun_sequence_RF00174"
Enterobacteriaceae,Brenneria goodwinii,RF00080,"CGIG01000001.1/4572731-4572921_Brenneria_goodwinii_genome_assembly_B_goodwinii_PB,_contig_Contig,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Klebsiella michiganensis,RF00080,"KK036986.1/2783871-2783716_Klebsiella_michiganensis_strain_MGH_27_adjbQ-supercont1.1,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Serratia fonticola,RF00080,"CP011254.1/5280750-5280930_Serratia_fonticola_strain_DSM_4576,_complete_genome_RF00080"
Enterobacteriaceae,Kosakonia cowanii JCM 10956 = DSM 18146,RF00080,"CP019445.1/3938093-3938267_Kosakonia_cowanii_JCM_10956_=_DSM_18146_strain_888-76_chromosome,_complete_genome_RF00080"
Enterobacteriaceae,Candidatus Symbiopectobacterium sp. PLON1,RF01734,"RYVO01000019.1/25656-25593_MAG:_Candidatus_Symbiopectobacterium_sp._PLON1_n19_c_18.6,_whole_genome_shotgun_sequence_RF01734"
Enterobacteriaceae,Klebsiella indica,RF01734,"VCHQ01000018.1/58259-58197_Klebsiella_indica_strain_TOUT106_salmonela_mira_c18,_whole_genome_shotgun_sequence_RF01734"
Enterobacteriaceae,Cedecea neteri,RF01734,"CP009451.1/4813899-4813968_Cedecea_neteri_strain_SSMD04,_complete_genome_RF01734"
Enterobacteriaceae,Kluyvera genomosp. 3,RF01734,"CP022114.1/879635-879695_Kluyvera_genomosp._3_strain_YDC799_chromosome,_complete_genome_RF01734"
Enterobacteriaceae,Dickeya dadantii 3937,RF01734,"CP002038.1/1376618-1376557_Dickeya_dadantii_3937,_complete_genome_RF01734"
Enterobacteriaceae,Gibbsiella quercinecans,RF00168,"CP014136.1/2960931-2960741_CP014136.1_Gibbsiella_quercinecans_strain_FRB97_chromosome,_complete_genome_RF00168"
Enterobacteriaceae,Yersinia ruckeri,RF00168,"UHJG01000001.1/2632952-2632759_UHJG01000001.1_Yersinia_ruckeri_strain_NCTC10476_genome_assembly,_contig:_ERS1545397SCcontig000001,_whole_genome_shotgun_sequence_RF00168"
Enterobacteriaceae,Klebsiella pneumoniae subsp. pneumoniae,RF00168,"CP003200.1/287054-286819_CP003200.1_Klebsiella_pneumoniae_subsp._pneumoniae_HS11286,_complete_genome_RF00168"
Enterobacteriaceae,Pantoea ananatis LMG 20103,RF00168,"CP001875.2/303887-304079_Pantoea_ananatis_LMG_20103,_complete_genome._RF00168"
Enterobacteriaceae,Serratia ficaria,RF00168,"LT906479.1/4755366-4755558_LT906479.1_Serratia_ficaria_strain_NCTC12148_genome_assembly,_chromosome:_1_RF00168"
Enterobacteriaceae,Kluyvera cryocrescens,RF00168,"CAADJD010000020.1/421266-421069_CAADJD010000020.1_Kluyvera_cryocrescens_strain_NCTC12993_genome_assembly,_contig:_ERS473437SCcontig000020,_whole_genome_shotgun_sequence_RF00168"
Enterobacteriaceae,Serratia odorifera DSM 4582,RF00174,"GG753567.1/1188953-1188739_Serratia_odorifera_DSM_4582_genomic_scaffold_SCAFFOLD1,_whole_genome_shotgun_sequence._RF00174"
Enterobacteriaceae,Budvicia aquatica,RF00174,"PDDX01000001.1/1010683-1010900_PDDX01000001.1_Budvicia_aquatica_strain_FDAARGOS_387_pRIID_90.contig.0,_whole_genome_shotgun_sequence_RF00174"
Enterobacteriaceae,Pantoea vagans,RF00174,"CP011427.1/4269271-4269453_CP011427.1_Pantoea_vagans_strain_ND02_chromosome,_complete_genome_RF00174"
Enterobacteriaceae,Brenneria rubrifaciens,RF00174,"CP034035.1/3722691-3722468_CP034035.1_Brenneria_rubrifaciens_strain_6D370_chromosome,_complete_genome_RF00174"
Enterobacteriaceae,Pantoea agglomerans,RF00174,"UGSO01000001.1/197396-197578_UGSO01000001.1_Pantoea_agglomerans_strain_NCTC9381_genome_assembly,_contig:_ERS513136SCcontig000001,_whole_genome_shotgun_sequence_RF00174"
Enterobacteriaceae,Biostraticola tofi,RF00174,"SMCR01000009.1/3104-2912_SMCR01000009.1_Biostraticola_tofi_strain_DSM_19580_Ga0244679_109,_whole_genome_shotgun_sequence_RF00174"
Enterobacteriaceae,Buttiauxella agrestis ATCC 33320,RF00174,"JMPI01000033.1/25900-25721_Buttiauxella_agrestis_ATCC_33320_GBAG.assembly.033,_whole_genome_shotgun_sequence._RF00174"
Enterobacteriaceae,Citrobacter freundii,RF00174,"JABXSS010000001.1/1543725-1543499_JABXSS010000001.1_Citrobacter_freundii_strain_RHB34-C11_RHB34-C11_1,_whole_genome_shotgun_sequence_RF00174"
Enterobacteriaceae,Serratia rubidaea,RF00174,"LR134493.1/1784999-1785211_LR134493.1_Serratia_rubidaea_strain_NCTC10036_genome_assembly,_chromosome:_1_RF00174"
Enterobacteriaceae,Citrobacter koseri ATCC BAA-895,RF00174,"CP000822.1/2804233-2804044_Citrobacter_koseri_ATCC_BAA-895,_complete_genome._RF00174"
Enterobacteriaceae,Candidatus Symbiopectobacterium sp. Dall1.0,RF00174,"RYVQ01000013.1/12470-12682_RYVQ01000013.1_MAG:_Candidatus_Symbiopectobacterium_sp._Dall1.0_n13,_whole_genome_shotgun_sequence_RF00174"
Enterobacteriaceae,Klebsiella sp. RIT-PI-d,RF00174,"LGIT01000007.1/3190-3011_Klebsiella_sp._RIT-PI-d_NODE_7_length_92076_cov_40.4216_ID_13,_whole_genome_shotgun_sequence._RF00174"
Enterobacteriaceae,Citrobacter sp. JGM124,RF00174,"JAERJD010000011.1/2992-2807_JAERJD010000011.1_Citrobacter_sp._JGM124_scaffold11_size122572,_whole_genome_shotgun_sequence_RF00174"
Enterobacteriaceae,Enterobacter cloacae SCF1,RF00174,"CP002272.1/4629315-4629134_Enterobacter_cloacae_SCF1,_complete_genome._RF00174"
Enterobacteriaceae,Cronobacter sakazakii ATCC BAA-894,RF01068,"CP000783.1/145814-145861_Cronobacter_sakazakii_ATCC_BAA-894,_complete_genome_RF01068"
Enterobacteriaceae,Atlantibacter hermannii NBRC 105704,RF01068,"BAFF01000002.1/83834-83878_Atlantibacter_hermannii_NBRC_105704_NBRC_105704_DNA,_contig:_EH10570402,_whole_genome_shotgun_sequence_RF01068"
Enterobacteriaceae,Providencia stuartii,RF01068,"LVIE01000024.1/132237-132287_Providencia_stuartii_strain_Crippen_contig_12,_whole_genome_shotgun_sequence_RF01068"
Enterobacteriaceae,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,RF01068,"AE006468.2/4581450-4581494_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2,_complete_genome_RF01068"
Enterobacteriaceae,Tenebrionibacter intestinalis,RF01068,"JAEPBH010000029.1/35106-35060_Tenebrionibacter_intestinalis_strain_BIT-L3_Scaffold29,_whole_genome_shotgun_sequence_RF01068"
Enterobacteriaceae,Shigella flexneri 2a str. 301,RF01068,"AE005674.2/4481197-4481243_Shigella_flexneri_2a_str._301,_complete_genome_RF01068"
Enterobacteriaceae,Citrobacter rodentium ICC168,RF01068,"FN543502.1/3389829-3389873_Citrobacter_rodentium_ICC168,_complete_genome_RF01068"
Enterobacteriaceae,Jejubacter calystegiae,RF01068,"CP040428.1/377088-377134_Jejubacter_calystegiae_strain_KSNA2_chromosome,_complete_genome_RF01068"
Enterobacteriaceae,Edwardsiella hoshinae,RF01055,"UFXZ01000001.1/1246697-1246839_UFXZ01000001.1_Edwardsiella_hoshinae_strain_NCTC12121_genome_assembly,_contig:_ERS1295689SCcontig000001,_whole_genome_shotgun_sequence_RF01055"
Enterobacteriaceae,Salmonella enterica different,RF01055,"CP000880.1/2056806-2056663_Salmonella_enterica_different,_complete_genome._RF01055"
Enterobacteriaceae,Leminorella richardii,RF01055,"LS483470.1/2287928-2287794_LS483470.1_Leminorella_richardii_strain_NCTC12151_genome_assembly,_chromosome:_1_RF01055"
Enterobacteriaceae,Photorhabdus luminescens subsp. laumondii TTO1,RF01055,BX470251.1/1797531-1797675_Photorhabdus_luminescens_subsp._laumondii_TTO1_complete_genome_RF01055
Enterobacteriaceae,Erwinia billingiae,RF01055,FP236843.1/1524108-1524238_Erwinia_billingiae_strain_Eb661_complete_chromosome._RF01055
Enterobacteriaceae,Trabulsiella odontotermitis,RF01055,"JNGI01000010.1/9072-9204_JNGI01000010.1_Trabulsiella_odontotermitis_strain_12_SAMPLE12_CONTIG_10,_whole_genome_shotgun_sequence_RF01055"
Enterobacteriaceae,Erwinia mallotivora,RF01055,"JFHN01000075.1/67441-67311_Erwinia_mallotivora_strain_BT-MARDI_contig_75,_whole_genome_shotgun_sequence._RF01055"
Enterobacteriaceae,Escherichia vulneris NBRC 102420,RF01055,"BBMZ01000013.1/163041-163173_Escherichia_vulneris_NBRC_102420_DNA,_contig:_EV10242013._RF01055"
Enterobacteriaceae,Serratia symbiotica str. Tucson,RF00050,"GL636117.1/162958-163119_Serratia_symbiotica_str._Tucson_genomic_scaffold_scaffold00329,_whole_genome_shotgun_sequence._RF00050"
Enterobacteriaceae,Xenorhabdus innexi,RF00050,"LT699767.1/3024282-3024468_Xenorhabdus_innexi_strain_HGB1681_(deposited_as_PTA-6826_in_the_American_Type_Culture_Collection)_genome_assembly,_scaffold:_XIS1_scaffold1_RF00050"
Enterobacteriaceae,Tatumella morbirosei,RF00050,"JPKR02000004.1/146698-146846_Tatumella_morbirosei_strain_LMG_23360_Contig4,_whole_genome_shotgun_sequence._RF00050"
Enterobacteriaceae,Xenorhabdus cabanillasii,RF00050,"QTUB01000001.1/1684550-1684798_QTUB01000001.1_Xenorhabdus_cabanillasii_strain_DSM_17905_Ga0236269_11,_whole_genome_shotgun_sequence_RF00050"
Enterobacteriaceae,Yersinia pestis CO92,RF00050,AL590842.1/717671-717860_Yersinia_pestis_CO92_complete_genome_RF00050
Enterobacteriaceae,Erwinia tasmaniensis,RF00050,CU468135.1/497127-497275_Erwinia_tasmaniensis_strain_ET1/99_complete_chromosome._RF00050
Enterobacteriaceae,Xenorhabdus japonica,RF00050,"FOVO01000004.1/30316-30521_FOVO01000004.1_Xenorhabdus_japonica_strain_DSM_16522_genome_assembly,_contig:_Ga0111655_104,_whole_genome_shotgun_sequence_RF00050"
Enterobacteriaceae,Lonsdalea quercina,RF00050,"FNQS01000007.1/46659-46493_Lonsdalea_quercina_strain_ATCC_29281_genome_assembly,_contig:_Ga0052894_scaffold00007.7_RF00050"
Enterobacteriaceae,Klebsiella pneumoniae subsp. ozaenae,RF00050,"UGLZ01000004.1/37876-38027_UGLZ01000004.1_Klebsiella_pneumoniae_subsp._ozaenae_strain_NCTC5050_genome_assembly,_contig:_ERS513128SCcontig000004,_whole_genome_shotgun_sequence_RF00050"
Enterobacteriaceae,Enterobacter sp. 638,RF00059,"CP000653.1/2926390-2926294_Enterobacter_sp._638,_complete_genome._RF00059"
Enterobacteriaceae,Shigella boydii CDC 3083-94,RF00059,"CP001063.1/66674-66575_Shigella_boydii_CDC_3083-94,_complete_genome._RF00059"
Enterobacteriaceae,Xenorhabdus koppenhoeferi,RF00059,"FPBJ01000008.1/39808-39715_FPBJ01000008.1_Xenorhabdus_koppenhoeferi_strain_DSM_18168_genome_assembly,_contig:_Ga0111672_108,_whole_genome_shotgun_sequence_RF00059"
Enterobacteriaceae,Erwinia tracheiphila,RF00059,"JXNU01000003.1/2200945-2201043_Erwinia_tracheiphila_strain_BuffGH_Etrach_2,_whole_genome_shotgun_sequence._RF00059"
Enterobacteriaceae,Mangrovibacter sp. MFB070,RF00080,"JJMI01000021.1/38936-38758_Mangrovibacter_sp._MFB070_Contig-021,_whole_genome_shotgun_sequence_RF00080"
Enterobacteriaceae,Enterobacteriaceae bacterium strain FGI 57,RF01734,"CP003938.1/1597368-1597301_Enterobacteriaceae_bacterium_strain_FGI_57,_complete_genome_RF01734"
Enterobacteriaceae,Candidatus Symbiopectobacterium sp. PLON1,RF01734,"RYVO01000018.1/244319-244258_MAG:_Candidatus_Symbiopectobacterium_sp._PLON1_n18_c_19.9,_whole_genome_shotgun_sequence_RF01734"
Enterobacteriaceae,Enterobacteriaceae bacterium RIT714,RF01068,"WJYB01000008.1/212287-212333_Enterobacteriaceae_bacterium_RIT714_8,_whole_genome_shotgun_sequence_RF01068"
Enterobacteriaceae,Klebsiella michiganensis,RF01734,"KK036986.1/3898518-3898579_Klebsiella_michiganensis_strain_MGH_27_adjbQ-supercont1.1,_whole_genome_shotgun_sequence_RF01734"
Enterobacteriaceae,Brenneria goodwinii,RF01734,"CGIG01000001.1/172208-172268_Brenneria_goodwinii_genome_assembly_B_goodwinii_PB,_contig_Contig,_whole_genome_shotgun_sequence_RF01734"
Enterobacteriaceae,Serratia fonticola,RF01734,"CP011254.1/3454057-3453994_Serratia_fonticola_strain_DSM_4576,_complete_genome_RF01734"
Enterobacteriaceae,Kluyvera genomosp. 3,RF00168,"CP022114.1/4649123-4649320_CP022114.1_Kluyvera_genomosp._3_strain_YDC799_chromosome,_complete_genome_RF00168"
Enterobacteriaceae,Cedecea neteri,RF00168,"CP009451.1/2351453-2351674_CP009451.1_Cedecea_neteri_strain_SSMD04,_complete_genome_RF00168"
Enterobacteriaceae,Klebsiella indica,RF00168,"VCHQ01000013.1/42920-43141_VCHQ01000013.1_Klebsiella_indica_strain_TOUT106_salmonela_mira_c13,_whole_genome_shotgun_sequence_RF00168"
Enterobacteriaceae,Dickeya dadantii 3937,RF00168,"CP002038.1/4344954-4345151_Dickeya_dadantii_3937,_complete_genome._RF00168"
Enterobacteriaceae,Gibbsiella quercinecans,RF00174,"CP014136.1/2707341-2707553_CP014136.1_Gibbsiella_quercinecans_strain_FRB97_chromosome,_complete_genome_RF00174"
Enterobacteriaceae,Kluyvera cryocrescens,RF00174,"CAADJD010000018.1/186229-186418_CAADJD010000018.1_Kluyvera_cryocrescens_strain_NCTC12993_genome_assembly,_contig:_ERS473437SCcontig000018,_whole_genome_shotgun_sequence_RF00174"
Enterobacteriaceae,Klebsiella pneumoniae subsp. pneumoniae,RF00174,"CP003200.1/117343-117529_CP003200.1_Klebsiella_pneumoniae_subsp._pneumoniae_HS11286,_complete_genome_RF00174"
Enterobacteriaceae,Citrobacter freundii,RF00174,"JABXSS010000001.1/1425553-1425727_JABXSS010000001.1_Citrobacter_freundii_strain_RHB34-C11_RHB34-C11_1,_whole_genome_shotgun_sequence_RF00174"
Enterobacteriaceae,Kosakonia cowanii JCM 10956 = DSM 18146,RF00174,"CP019445.1/184014-183845_CP019445.1_Kosakonia_cowanii_JCM_10956_=_DSM_18146_strain_888-76_chromosome,_complete_genome_RF00174"
Enterobacteriaceae,Brenneria rubrifaciens,RF00174,"CP034035.1/1376384-1376565_CP034035.1_Brenneria_rubrifaciens_strain_6D370_chromosome,_complete_genome_RF00174"
Enterobacteriaceae,Yersinia ruckeri,RF00174,"UHJG01000001.1/2380316-2380557_UHJG01000001.1_Yersinia_ruckeri_strain_NCTC10476_genome_assembly,_contig:_ERS1545397SCcontig000001,_whole_genome_shotgun_sequence_RF00174"
Enterobacteriaceae,Serratia ficaria,RF00174,"LT906479.1/5038639-5038420_LT906479.1_Serratia_ficaria_strain_NCTC12148_genome_assembly,_chromosome:_1_RF00174"
Enterobacteriaceae,Pantoea ananatis LMG 20103,RF00174,"CP001875.2/4251783-4251601_Pantoea_ananatis_LMG_20103,_complete_genome._RF00174"
Enterobacteriaceae,Buttiauxella agrestis ATCC 33320,RF01068,"JMPI01000008.1/2934-2980_Buttiauxella_agrestis_ATCC_33320_GBAG.assembly.008,_whole_genome_shotgun_sequence_RF01068"
Enterobacteriaceae,Klebsiella sp. RIT-PI-d,RF01068,"LGIT01000003.1/572991-572947_Klebsiella_sp._RIT-PI-d_NODE_2_length_598449_cov_38.8215_ID_3,_whole_genome_shotgun_sequence_RF01068"
Enterobacteriaceae,Citrobacter koseri ATCC BAA-895,RF01068,"CP000822.1/3425349-3425305_Citrobacter_koseri_ATCC_BAA-895,_complete_genome_RF01068"
